"subject" "activity" "measure" "mean"
1 "LAYING" "angle.tBodyAccJerkMean..gravityMean." 0.058126491482
1 "LAYING" "angle.tBodyAccMean.gravity." -0.020599544354
1 "LAYING" "angle.tBodyGyroJerkMean.gravityMean." 0.054261745152
1 "LAYING" "angle.tBodyGyroMean.gravityMean." 0.039295508144
1 "LAYING" "angle.X.gravityMean." -0.4129722016
1 "LAYING" "angle.Y.gravityMean." -0.00493245342
1 "LAYING" "angle.Z.gravityMean." -0.199198987096
1 "LAYING" "fBodyAcc.mean...X" -0.66450628112
1 "LAYING" "fBodyAcc.mean...Y" -0.622590670958
1 "LAYING" "fBodyAcc.mean...Z" -0.68688116254
1 "LAYING" "fBodyAcc.meanFreq...X" -0.28277873572
1 "LAYING" "fBodyAcc.meanFreq...Y" -0.0501113437
1 "LAYING" "fBodyAcc.meanFreq...Z" 0.01664813414
1 "LAYING" "fBodyAcc.std...X" -0.65104036398
1 "LAYING" "fBodyAcc.std...Y" -0.60156690992
1 "LAYING" "fBodyAcc.std...Z" -0.5878871986
1 "LAYING" "fBodyAccJemeanrk.energy...Y" -0.8875432412
1 "LAYING" "fBodyAccJerk.mean...X" -0.71711591156
1 "LAYING" "fBodyAccJerk.mean...Y" -0.71449556136
1 "LAYING" "fBodyAccJerk.mean...Z" -0.79291583834
1 "LAYING" "fBodyAccJerk.meanFreq...X" -0.04016243266
1 "LAYING" "fBodyAccJerk.meanFreq...Y" -0.177369687
1 "LAYING" "fBodyAccJerk.meanFreq...Z" -0.123363756398
1 "LAYING" "fBodyAccJerk.std...X" -0.73311014666
1 "LAYING" "fBodyAccJerk.std...Y" -0.71877072826
1 "LAYING" "fBodyAccJerk.std...Z" -0.8331804212
1 "LAYING" "fBodyAccMag.mean.." -0.64328639902
1 "LAYING" "fBodyAccMag.meanFreq.." 0.041717300602
1 "LAYING" "fBodyAccMag.std.." -0.693144223834
1 "LAYING" "fBodyBodyAccJerkMag.mean.." -0.69920746394
1 "LAYING" "fBodyBodyAccJerkMag.meanFreq.." 0.203554181974
1 "LAYING" "fBodyBodyAccJerkMag.std.." -0.73452396444
1 "LAYING" "fBodyBodyGyroJerkMag.mean.." -0.8341882888
1 "LAYING" "fBodyBodyGyroJerkMag.meanFreq.." 0.075588750872
1 "LAYING" "fBodyBodyGyroJerkMag.std.." -0.8429743972
1 "LAYING" "fBodyBodyGyroMag.mean.." -0.7190213527
1 "LAYING" "fBodyBodyGyroMag.meanFreq.." -0.1652445406198
1 "LAYING" "fBodyBodyGyroMag.std.." -0.64016199359
1 "LAYING" "fBodyGyro.mean...X" -0.70964093228
1 "LAYING" "fBodyGyro.mean...Y" -0.71842752124
1 "LAYING" "fBodyGyro.mean...Z" -0.67023844038
1 "LAYING" "fBodyGyro.meanFreq...X" -0.173321098446
1 "LAYING" "fBodyGyro.meanFreq...Y" -0.331216938164
1 "LAYING" "fBodyGyro.meanFreq...Z" -0.14817805676
1 "LAYING" "fBodyGyro.std...X" -0.74842648738
1 "LAYING" "fBodyGyro.std...Y" -0.61140498548
1 "LAYING" "fBodyGyro.std...Z" -0.68140138492
1 "LAYING" "tBodyAcc.mean...X" 0.2863812184
1 "LAYING" "tBodyAcc.mean...Y" -0.019721560038
1 "LAYING" "tBodyAcc.mean...Z" -0.11708590414
1 "LAYING" "tBodyAcc.std...X" -0.65420948758
1 "LAYING" "tBodyAcc.std...Y" -0.589826238698
1 "LAYING" "tBodyAcc.std...Z" -0.597272067532
1 "LAYING" "tBodyAccJerk.mean...X" 0.052958538826
1 "LAYING" "tBodyAccJerk.mean...Y" 0.0376304725874
1 "LAYING" "tBodyAccJerk.mean...Z" -0.0165747859532
1 "LAYING" "tBodyAccJerk.std...X" -0.711971014434
1 "LAYING" "tBodyAccJerk.std...Y" -0.70659390856
1 "LAYING" "tBodyAccJerk.std...Z" -0.8135599836
1 "LAYING" "tBodyAccJerkMag.mean.." -0.7272291096
1 "LAYING" "tBodyAccJerkMag.std.." -0.7131665423
1 "LAYING" "tBodyAccMag.mean.." -0.597607483328
1 "LAYING" "tBodyAccMag.std.." -0.63830970148
1 "LAYING" "tBodyGyro.mean...X" -0.087866332092
1 "LAYING" "tBodyGyro.mean...Y" -0.066557182268
1 "LAYING" "tBodyGyro.mean...Z" 0.0719643742
1 "LAYING" "tBodyGyro.std...X" -0.7366072187
1 "LAYING" "tBodyGyro.std...Y" -0.6438802211
1 "LAYING" "tBodyGyro.std...Z" -0.65295963094
1 "LAYING" "tBodyGyroJerk.mean...X" -0.11898783818
1 "LAYING" "tBodyGyroJerk.mean...Y" -0.027598390144
1 "LAYING" "tBodyGyroJerk.mean...Z" -0.0570365216
1 "LAYING" "tBodyGyroJerk.std...X" -0.78250200068
1 "LAYING" "tBodyGyroJerk.std...Y" -0.8439476496
1 "LAYING" "tBodyGyroJerk.std...Z" -0.7861581276
1 "LAYING" "tBodyGyroJerkMag.mean.." -0.8177273172
1 "LAYING" "tBodyGyroJerkMag.std.." -0.8327191712
1 "LAYING" "tBodyGyroMag.mean.." -0.599675762226
1 "LAYING" "tBodyGyroMag.std.." -0.6292264376
1 "LAYING" "tGravityAcc.mean...X" 0.5752889752
1 "LAYING" "tGravityAcc.mean...Y" 0.111674021836
1 "LAYING" "tGravityAcc.mean...Z" 0.277569692534
1 "LAYING" "tGravityAcc.std...X" -0.9682452158
1 "LAYING" "tGravityAcc.std...Y" -0.9639713336
1 "LAYING" "tGravityAcc.std...Z" -0.9428016642
1 "LAYING" "tGravityAccMag.mean.." -0.597607483328
1 "LAYING" "tGravityAccMag.std.." -0.63830970148
1 "SITTING" "angle.tBodyAccJerkMean..gravityMean." 0.0817829768
1 "SITTING" "angle.tBodyAccMean.gravity." -0.00112332698085106
1 "SITTING" "angle.tBodyGyroJerkMean.gravityMean." 0.00910650923404255
1 "SITTING" "angle.tBodyGyroMean.gravityMean." -0.237107704553191
1 "SITTING" "angle.X.gravityMean." -0.659246444468085
1 "SITTING" "angle.Y.gravityMean." 0.150679190468085
1 "SITTING" "angle.Z.gravityMean." 0.135955780085106
1 "SITTING" "fBodyAcc.mean...X" -0.535969659312766
1 "SITTING" "fBodyAcc.mean...Y" -0.428843108170213
1 "SITTING" "fBodyAcc.mean...Z" -0.469089748404255
1 "SITTING" "fBodyAcc.meanFreq...X" -0.273153321721277
1 "SITTING" "fBodyAcc.meanFreq...Y" -0.0341537788808511
1 "SITTING" "fBodyAcc.meanFreq...Z" -0.0468703029787234
1 "SITTING" "fBodyAcc.std...X" -0.497054143955319
1 "SITTING" "fBodyAcc.std...Y" -0.422975041893617
1 "SITTING" "fBodyAcc.std...Z" -0.359889965280851
1 "SITTING" "fBodyAccJemeanrk.energy...Y" -0.781079966702128
1 "SITTING" "fBodyAccJerk.mean...X" -0.578816816
1 "SITTING" "fBodyAccJerk.mean...Y" -0.539770736170213
1 "SITTING" "fBodyAccJerk.mean...Z" -0.612648086042553
1 "SITTING" "fBodyAccJerk.meanFreq...X" -0.144300651617021
1 "SITTING" "fBodyAccJerk.meanFreq...Y" -0.233396086339787
1 "SITTING" "fBodyAccJerk.meanFreq...Z" -0.273105151574468
1 "SITTING" "fBodyAccJerk.std...X" -0.550133209425532
1 "SITTING" "fBodyAccJerk.std...Y" -0.528197115021277
1 "SITTING" "fBodyAccJerk.std...Z" -0.660351870212766
1 "SITTING" "fBodyAccMag.mean.." -0.458608989510638
1 "SITTING" "fBodyAccMag.meanFreq.." 0.107390231789362
1 "SITTING" "fBodyAccMag.std.." -0.572006205659574
